#,Name,Transliteration,Meaning
1,ٱلرَّحْمَٰنُ,Ar-Raḥmān,"The Most Merciful, The Entirely Merciful"
2,ٱلرَّحِيمُ,Ar-Raḥīm,The Especially Merciful
3,ٱلْمَلِكُ,Al-Malik,The King and Owner of Dominion
4,ٱلْقُدُّوسُ,Al-Quddūs,The Absolutely Pure and Perfect
5,ٱلسَّلَامُ,As-Salām,"The Source of Peace, The Flawless"
6,ٱلْمُؤْمِنُ,Al-Mu’min,The Granter of Security and Faith
7,ٱلْمُهَيْمِنُ,Al-Muhaymin,"The Guardian, The Witness, The Overseer"
8,ٱلْعَزِيزُ,Al-‘Azīz,"The Almighty, The All-Powerful, The Invincible, The Honorable"
9,ٱلْجَبَّارُ,Al-Jabbār,"The Compeller, The Restorer"
10,ٱلْمُتَكَبِّرُ,Al-Mutakabbir,"The Supreme in Glory, The Rightfully Proud"
11,ٱلْخَٰلِقُ,Al-Khāliq,"The Creator, The Maker"
12,ٱلْبَارِئُ,Al-Bāriʾ,"The Originator, The Inventor"
13,ٱلْمُصَوِّرُ,Al-Muṣawwir,"The Fashioner, The Shaper"
14,ٱلْغَفَّارُ,Al-Ghaffār,"The Constant Forgiver, The Great Forgiver"
15,ٱلْقَهَّارُ,Al-Qahhār,"The Subduer, The Ever-Dominating"
16,ٱلْوَهَّابُ,Al-Wahhāb,"The Giver of Gifts, The Bestower"
17,ٱلرَّزَّاقُ,Ar-Razzāq,"The Ever-Providing, The Constant Provider"
18,ٱلْفَتَّاحُ,Al-Fattāḥ,"The Opener, The Judge"
19,ٱلْعَلِيمُ,Al-ʿAlīm,"The All-Knowing, The Omniscient"
20,ٱلْقَابِضُ,Al-Qābiḍ,"The Withholder, The Restrainer"
21,ٱلْبَاسِطُ,Al-Bāsiṭ,"The Extender, The Expander"
22,ٱلْخَافِضُ,Al-Khāfiḍ,"The Reducer, The Abaser"
23,ٱلرَّافِعُ,Ar-Rāfiʿ,"The Exalter, The Elevator"
24,ٱلْمُعِزُّ,Al-Muʿizz,"The Honourer, The Bestower of Honor"
25,ٱلْمُذِلُّ,Al-Mudhil,"The Dishonourer, The Humiliator"
26,ٱلسَّمِيعُ,As-Samīʿ,The All-Hearing
27,ٱلْبَصِيرُ,Al-Baṣīr,The All-Seeing
28,ٱلْحَكَمُ,Al-Ḥakam,"The Judge, The Giver of Justice"
29,ٱلْعَدْلُ,Al-‘Adl,The Utterly Just
30,ٱللَّطِيفُ,Al-Laṭīf,"The Most Gentle, The Subtle One"
31,ٱلْخَبِيرُ,Al-Khabīr,"The All-Aware, The All-Acquainted"
32,ٱلْحَلِيمُ,Al-Ḥalīm,The Most Forbearing
33,ٱلْعَظِيمُ,Al-ʿAẓīm,"The Magnificent, The Supreme"
34,ٱلْغَفُورُ,Al-Ghafūr,"The Forgiving, The Exceedingly Forgiving"
35,ٱلشَّكُورُ,Ash-Shakūr,The Most Appreciative
36,ٱلْعَلِيُّ,Al-ʿAlī,"The Most High, The Exalted"
37,ٱلْكَبِيرُ,Al-Kabīr,"The Greatest, The Most Grand"
38,ٱلْحَفِيظُ,Al-Ḥafīẓ,"The Preserver, The All-Heedful and All-Protecting"
39,ٱلْمُقِيتُ,Al-Muqīt,"The Nourisher, The All-Powerful Maintainer"
40,ٱلْحَسِيبُ,Al-Ḥasīb,The Reckoner
41,ٱلْجَلِيلُ,Al-Jalīl,The Majestic
42,ٱلْكَرِيمُ,Al-Karīm,"The Most Generous, The Most Noble"
43,ٱلرَّقِيبُ,Ar-Raqīb,"The Watchful, The All-Watchful"
44,ٱلْمُجِيبُ,Al-Mujīb,"The Responsive, The Answerer"
45,ٱلْوَاسِعُ,Al-Wāsiʿ,"The All-Encompassing, the Boundless"
46,ٱلْحَكِيمُ,Al-Ḥakīm,The All-Wise
47,ٱلْوَدُودُ,Al-Wadūd,The Most Loving
48,ٱلْمَجِيدُ,Al-Majīd,"The All-Glorious, The Ever-Majestic"
49,ٱلْبَاعِثُ,Al-Bāʿith,"The Infuser of New Life, The Resurrector"
50,ٱلشَّهِيدُ,As-Shahīd,The All-Witnessing
51,ٱلْحَقُّ,Al-Ḥaqq,The Absolute Truth
52,ٱلْوَكِيلُ,Al-Wakīl,"The Trustee, The Disposer of Affairs"
53,ٱلْقَوِيُّ,Al-Qawiyy,The All-Strong
54,ٱلْمَتِينُ,Al-Matīn,"The Firm, The Steadfast"
55,ٱلْوَلِيُّ,Al-Waliyy,"The Protector, The Guardian"
56,ٱلْحَمِيدُ,Al-Ḥamīd,"The Praiseworthy, The Most Praised"
57,ٱلْمُحْصِي,Al-Muḥṣī,"The All-Enumerating, The Counter"
58,ٱلْمُبْدِئُ,Al-Mubdiʾ,"The Originator, The Initiator"
59,ٱلْمُعِيدُ,Al-Muʿīd,"The Restorer, The Reviver"
