Emotion_ID,Emotion_Name,Arabic,Category,Attribute_ID,Attribute_Name,Role,Weight
1,Anger,الغضب,Negative,23,Ghadab,Core,1.0
1,Anger,الغضب,Negative,75,Sabr,Treatment,0.9
1,Anger,الغضب,Negative,86,Hilm,Treatment,0.85
1,Anger,الغضب,Negative,85,Rifq,Treatment,0.8
1,Anger,الغضب,Negative,23,Ghadab,Disease,0.95
1,Anger,الغضب,Negative,22,Hiqd,Disease,0.65
1,Anger,الغضب,Negative,86,Hilm,Strengthens,0.55
2,Jealousy,الحسد,Negative,21,Hasad,Core,1.0
2,Jealousy,الحسد,Negative,76,Shukr,Treatment,0.9
2,Jealousy,الحسد,Negative,82,Qana'ah,Treatment,0.85
2,Jealousy,الحسد,Negative,100,Ridha,Treatment,0.8
2,Jealousy,الحسد,Negative,21,Hasad,Disease,0.95
2,Jealousy,الحسد,Negative,26,Tama,Disease,0.65
2,Jealousy,الحسد,Negative,82,Qana'ah,Strengthens,0.55
3,Anxiety,القلق,Negative,77,Tawakkul,Core,1.0
3,Anxiety,القلق,Negative,77,Tawakkul,Treatment,0.9
3,Anxiety,القلق,Negative,80,Yaqin,Treatment,0.85
3,Anxiety,القلق,Negative,99,Raja,Treatment,0.8
3,Anxiety,القلق,Negative,77,Tawakkul,Disease,0.95
3,Anxiety,القلق,Negative,80,Yaqin,Disease,0.65
3,Anxiety,القلق,Negative,80,Yaqin,Strengthens,0.55
4,Fear,الخوف,Negative,78,Khawf,Core,1.0
4,Fear,الخوف,Negative,77,Tawakkul,Treatment,0.9
4,Fear,الخوف,Negative,79,Raja,Treatment,0.85
4,Fear,الخوف,Negative,80,Yaqin,Treatment,0.8
4,Fear,الخوف,Negative,78,Khawf,Disease,0.95
4,Fear,الخوف,Negative,20,Wahn,Disease,0.65
4,Fear,الخوف,Negative,79,Raja,Strengthens,0.55
5,Sadness,الحزن,Negative,75,Sabr,Core,1.0
5,Sadness,الحزن,Negative,75,Sabr,Treatment,0.9
5,Sadness,الحزن,Negative,79,Raja,Treatment,0.85
5,Sadness,الحزن,Negative,144,Husn az-Zann bin-Nas,Treatment,0.8
5,Sadness,الحزن,Negative,79,Raja,Strengthens,0.55
6,Hopelessness,اليأس,Negative,79,Raja,Core,1.0
6,Hopelessness,اليأس,Negative,79,Raja,Treatment,0.9
6,Hopelessness,اليأس,Negative,71,Tawbah,Treatment,0.85
6,Hopelessness,اليأس,Negative,144,Husn az-Zann bin-Nas,Treatment,0.8
6,Hopelessness,اليأس,Negative,71,Tawbah,Strengthens,0.55
7,Guilt,الندم,Negative,71,Tawbah,Core,1.0
7,Guilt,الندم,Negative,71,Tawbah,Treatment,0.9
7,Guilt,الندم,Negative,93,Inabah,Treatment,0.85
7,Guilt,الندم,Negative,72,Ikhlas,Treatment,0.8
7,Guilt,الندم,Negative,9,Qasawat al-Qalb,Disease,0.65
7,Guilt,الندم,Negative,93,Inabah,Strengthens,0.55
8,Laziness,الكسل,Negative,139,Himmah Aliyah,Core,1.0
8,Laziness,الكسل,Negative,139,Himmah Aliyah,Treatment,0.9
8,Laziness,الكسل,Negative,122,Mujahadah,Treatment,0.85
8,Laziness,الكسل,Negative,121,Istiqamah,Treatment,0.8
8,Laziness,الكسل,Negative,51,Kasal,Disease,0.95
8,Laziness,الكسل,Negative,122,Mujahadah,Strengthens,0.55
9,Loneliness,الوحدة,Negative,104,Tadhakkur,Core,1.0
9,Loneliness,الوحدة,Negative,94,Uns billah,Treatment,0.9
9,Loneliness,الوحدة,Negative,104,Tadhakkur,Treatment,0.85
9,Loneliness,الوحدة,Negative,91,Mahabbah,Treatment,0.8
9,Loneliness,الوحدة,Negative,10,Ghaflah,Disease,0.95
9,Loneliness,الوحدة,Negative,104,Tadhakkur,Disease,0.65
9,Loneliness,الوحدة,Negative,104,Tadhakkur,Strengthens,0.55
10,Emptiness,الفراغ الروحي,Negative,104,Tadhakkur,Treatment,0.85
10,Emptiness,الفراغ الروحي,Negative,171,Uns bil-Quran,Treatment,0.8
10,Emptiness,الفراغ الروحي,Negative,10,Ghaflah,Disease,0.95
10,Emptiness,الفراغ الروحي,Negative,171,Uns bil-Quran,Disease,0.65
10,Emptiness,الفراغ الروحي,Negative,104,Tadhakkur,Strengthens,0.55
11,Arrogance,الكبر,Negative,72,Ikhlas,Treatment,0.85
11,Arrogance,الكبر,Negative,2,Kibr,Disease,0.95
11,Arrogance,الكبر,Negative,3,Ujb,Disease,0.65
11,Arrogance,الكبر,Negative,72,Ikhlas,Strengthens,0.55
12,Pride,العجب,Negative,76,Shukr,Treatment,0.85
12,Pride,العجب,Negative,3,Ujb,Disease,0.95
12,Pride,العجب,Negative,2,Kibr,Disease,0.65
12,Pride,العجب,Negative,76,Shukr,Strengthens,0.55
13,Showing Off,الرياء,Negative,72,Ikhlas,Core,1.0
13,Showing Off,الرياء,Negative,72,Ikhlas,Treatment,0.9
13,Showing Off,الرياء,Negative,90,Ihsan,Treatment,0.85
13,Showing Off,الرياء,Negative,1,Riya,Disease,0.95
13,Showing Off,الرياء,Negative,3,Ujb,Disease,0.65
13,Showing Off,الرياء,Negative,90,Ihsan,Strengthens,0.55
14,Greed,الطمع,Negative,82,Qana'ah,Core,1.0
14,Greed,الطمع,Negative,82,Qana'ah,Treatment,0.9
14,Greed,الطمع,Negative,76,Shukr,Treatment,0.85
14,Greed,الطمع,Negative,26,Tama,Disease,0.95
14,Greed,الطمع,Negative,54,Hirs,Disease,0.65
14,Greed,الطمع,Negative,76,Shukr,Strengthens,0.55
15,Love of Dunya,حب الدنيا,Negative,81,Zuhd,Core,1.0
15,Love of Dunya,حب الدنيا,Negative,81,Zuhd,Treatment,0.9
15,Love of Dunya,حب الدنيا,Negative,200,Jannat an-Naim Orientation,Treatment,0.85
15,Love of Dunya,حب الدunya,Negative,27,Hubb ad-Dunya,Disease,0.95
15,Love of Dunya,حب الدنيا,Negative,54,Hirs,Disease,0.65
15,Love of Dunya,حب الدنيا,Negative,200,Jannat an-Naim Orientation,Strengthens,0.55
16,Hatred,الحقد,Negative,88,Afw,Core,1.0
16,Hatred,الحقد,Negative,88,Afw,Treatment,0.9
16,Hatred,الحقد,Negative,87,Rahmah,Treatment,0.85
16,Hatred,الحقد,Negative,86,Hilm,Treatment,0.8
16,Hatred,الحقد,Negative,22,Hiqd,Disease,0.95
16,Hatred,الحقد,Negative,23,Ghadab,Disease,0.65
16,Hatred,الحقد,Negative,87,Rahmah,Strengthens,0.55
17,Desire for Revenge,الانتقام,Negative,88,Afw,Core,1.0
17,Desire for Revenge,الانتقام,Negative,88,Afw,Treatment,0.9
17,Desire for Revenge,الانتقام,Negative,75,Sabr,Treatment,0.85
17,Desire for Revenge,الانتقام,Negative,86,Hilm,Treatment,0.8
17,Desire for Revenge,الانتقام,Negative,23,Ghadab,Disease,0.95
17,Desire for Revenge,الانتقام,Negative,23,Ghadab,Disease,0.65
17,Desire for Revenge,الانتقام,Negative,75,Sabr,Strengthens,0.55
18,Suspicion,سوء الظن,Negative,144,Husn az-Zann bin-Nas,Core,1.0
18,Suspicion,سوء الظن,Negative,144,Husn az-Zann bin-Nas,Treatment,0.9
18,Suspicion,سوء الظن,Negative,33,Su' al-Dhann,Disease,0.95
18,Suspicion,سوء الظن,Negative,21,Hasad,Disease,0.65
19,Doubt,الشك,Negative,80,Yaqin,Core,1.0
19,Doubt,الشك,Negative,80,Yaqin,Treatment,0.9
19,Doubt,الشك,Negative,77,Tawakkul,Treatment,0.85
19,Doubt,الشك,Negative,80,Yaqin,Disease,0.65
19,Doubt,الشك,Negative,77,Tawakkul,Strengthens,0.55
