Attribute_ID,Attribute_Name,Arabic_Name,Nature,Emotion_ID,Emotion_Name,Emotion_Arabic,Role,Quran_Ref,Hadith_Ref,Category,Notes
1,Riya,الرياء,Negative,13,Showing Off,الرياء,Disease,Quran 107:4-6,Sahih Muslim 2985,Primary,Showing off in worship - core sin
1,Riya,الرياء,Negative,13,Showing Off,الرياء,Universal_Cure,Quran 98:5,Sahih al-Bukhari 1,Universal,Sincerity (Ikhlas) is its opposite
1,Riya,الرياء,Negative,11,Arrogance,الكبر,Disease,Quran 31:18,,Secondary,Arrogance often manifests as Riya
1,Riya,الرياء,Negative,12,Pride,العجب,Disease,Quran 53:32,,Secondary,Self-admiration underlies Riya
2,Kibr,الكبر,Negative,11,Arrogance,الكبر,Disease,Quran 31:18,Sahih Muslim 91,Primary,Pride is the essence of Kibr
2,Kibr,الكبر,Negative,12,Pride,العجب,Disease,Quran 53:32,Sahih Muslim 2749,Secondary,Self-admiration related to Kibr
2,Kibr,الكبر,Negative,16,Hatred,الحقد,Disease,Quran 31:18,,Secondary,Pride causes looking down on others
2,Kibr,الكبر,Negative,27,Envy of Status,حب الجاه,Disease,Quran 31:18,,Secondary,Status seeking from pride
2,Kibr,الكبر,Negative,11,Arrogance,الكبر,Universal_Cure,Quran 25:63,Sahih Muslim 2588,Universal,Tawadu is the opposite
3,Ujb,العجب,Negative,12,Pride,العجب,Disease,Quran 53:32,Sahih Muslim 2749,Primary,Self-amazement
3,Ujb,العجب,Negative,11,Arrogance,الكبر,Disease,Quran 53:32,,Secondary,Related to arrogance
3,Ujb,العجب,Negative,42,Sincerity,الإخلاص,Disease,Quran 53:32,,Secondary,Undermines sincerity
3,Ujb,العجب,Negative,12,Pride,العجب,Universal_Cure,Quran 25:63,,Universal,Tawadu cures Ujb
4,Nifaq,النفاق,Negative,13,Showing Off,الرياء,Disease,Quran 2:8-9,Sahih al-Bukhari 33,Primary,Hypocrisy - showing off is its manifestation
4,Nifaq,النفاق,Negative,11,Arrogance,الكبر,Disease,Quran 2:8-9,,Secondary,Arrogance can lead to nifaq
4,Nifaq,النفاق,Negative,29,Overthinking,كثرة التفكير,Disease,Quran 2:8-9,,Secondary,Excessive doubt leads to nifaq
4,Nifaq,النفاق,Negative,18,Suspicion,سوء الظن,Disease,Quran 49:12,,Secondary,Bad assumption is sign of nifaq
5,Sum'ah,السُّمعة,Negative,13,Showing Off,الرياء,Disease,Quran 28:83,Sahih al-Bukhari 6499,Primary,Love of fame - showing off manifestation
5,Sum'ah,السُّمعة,Negative,11,Arrogance,الكبر,Disease,Quran 28:83,,Secondary,Pride in reputation
6,Kufr al-Ni'mah,كفر النعمة,Negative,32,Weak Faith,ضعف الإيمان,Disease,Quran 14:7,Sahih Muslim 2734,Primary,Disbelief in blessings
6,Kufr al-Ni'mah,كفر النعمة,Negative,14,Love of Dunya,حب الدنيا,Disease,Quran 14:7,,Secondary,Takes blessings for granted
6,Kufr al-Ni'mah,كفر النعمة,Negative,15,Love of Dunya,حب الدنيا,Disease,Quran 16:18,,Secondary,Disregard of Allah's blessings
6,Kufr al-Ni'mah,كفر النيما,Negative,32,Weak Faith,ضعف الإيمان,Universal_Cure,Quran 14:7,Sahih Muslim 2819,Universal,Shukr is the opposite
7,Ghurur,الغرور,Negative,11,Arrogance,الكبر,Disease,Quran 31:33,Sahih Muslim 2959,Secondary,False sense of security
7,Ghurur,الغرور,Negative,4,Fear,الخوف,Disease,Quran 31:33,,Secondary,False security instead of Khawf
7,Ghurur,الغرور,Negative,7,Guilt,الندم,Disease,Quran 31:33,,Secondary,Self-deception
7,Ghurur,الغرور,Negative,11,Arrogance,الكبر,Universal_Cure,Quran 12:108,Sahih Muslim 2699,Universal,Basirah is opposite
8,Irtiyab,الارتياب,Negative,19,Doubt,الشك,Disease,Quran 49:15,Sahih Muslim 134,Primary,Hesitation - form of doubt
8,Irtiyab,الارتياب,Negative,22,Weak Faith,ضعف الإيمان,Disease,Quran 49:15,,Secondary,Hesitation weakens faith
8,Irtiyab,الارتياب,Negative,44,Certainty of Faith,اليقين,Disease,Quran 49:15,,Secondary,Opposite of yaqin
8,Irtiyab,الارتياب,Negative,19,Doubt,الشك,Universal_Cure,Quran 2:2,Sahih Muslim 8,Universal,Yaqin is cure
9,Qasawat al-Qalb,قسوة القلب,Negative,5,Sadness,الحزن,Disease,Quran 57:16,Sahih Muslim 2750,Primary,Hardness from unhealed grief
9,Qasawat al-Qalb,قسوة القلب,Negative,24,Hard-heartedness,قسوة القلب,Disease,Quran 57:16,Sahih Muslim 2750,Primary,Hard-heartedness itself
9,Qasawat al-Qalb,قسوة القلب,Negative,7,Guilt,الندم,Disease,Quran 57:16,,Secondary,Guilt can harden heart
9,Qasawat al-Qalb,قسوة القلب,Negative,16,Hatred,الحقد,Disease,Quran 57:16,,Secondary,Harbored hatred hardens heart
9,Qasawat al-Qalb,قسوة القلب,Negative,10,Emptiness,الفراغ الروحي,Disease,Quran 57:16,,Secondary,Spiritual emptiness from hardness
9,Qasawat al-Qalb,قسوة القلب,Negative,5,Sadness,الحزن,Universal_Cure,Quran 13:28,Sahih Muslim 2675,Universal,Tadhakkur softens hearts
10,Ghaflah,الغفلة,Negative,9,Loneliness,الوحدة,Disease,Quran 7:205,Sahih al-Bukhari 6407,Primary,Heedlessness causes loneliness
10,Ghaflah,الغفلة,Negative,10,Emptiness,الفراغ الروحي,Disease,Quran 7:205,,Primary,Spiritual emptiness from heedlessness
10,Ghaflah,الغفلة,Negative,21,Distractedness,الغفلة,Disease,Quran 7:205,,Primary,Distractedness is heedlessness
10,Ghaflah,الغفلة,Negative,31,Distractedness,الغفلة,Disease,Quran 7:205,,Primary,Repeated entry
10,Ghaflah,الغفلة,Negative,45,Fear of Allah,خشية الله,Disease,Quran 7:205,,Secondary,Opposite of khashyah
10,Ghaflah,الغفلة,Negative,9,Loneliness,الوحدة,Universal_Cure,Quran 13:28,Sahih Muslim 2675,Universal,Tadhakkur is the cure
11,Amn min Makrillah,الأمن من مكر الله,Negative,4,Fear,الخوف,Disease,Quran 7:99,Sahih al-Bukhari 6607,Primary,False security from Allah
11,Amn min Makrillah,الأمن من مكر الله,Negative,3,Anxiety,القلق,Disease,Quran 7:99,,Secondary,Either excessive fear or false security
11,Amn min Makrillah,الأمن من مكر الله,Negative,4,Fear,الخوف,Universal_Cure,Quran 35:28,Sahih al-Bukhari 6482,Universal,Khashyah is cure
12,Tul al-Amal,طول الأمل,Negative,15,Love of Dunya,حب الدنيا,Disease,Quran 15:3,Sahih al-Bukhari 6417,Primary,Length of worldly hope
12,Tul al-Amal,طول الأمل,Negative,14,Hopelessness,اليأس,Disease,Quran 15:3,,Secondary,Excessive hope can lead to despair when not met
12,Tul al-Amal,طول الأمل,Negative,8,Laziness,الكسل,Disease,Quran 15:3,,Secondary,Procrastination from long hope
13,Ittiba al-Hawa,اتباع الهوى,Negative,1,Anger,الغضب,Disease,Quran 45:23,Sahih Muslim 2657,Secondary,Following desires fuels anger
13,Ittiba al-Hawa,اتباع الهوى,Negative,14,Greed,الطمع,Disease,Quran 45:23,,Primary,Following desires is greed
13,Ittiba al-Hawa,اتباع الهوى,Negative,15,Love of Dunya,حب الدنيا,Disease,Quran 45:23,,Primary,Following desires is dunya love
13,Ittiba al-Hawa,اتباع الهوى,Negative,26,Excessive Attachment,التعلق الزائد,Disease,Quran 45:23,,Primary,Following desires is excessive attachment
13,Ittiba al-Hawa,اتباع الهوى,Negative,1,Anger,الغضب,Universal_Cure,Quran 2:197,Sahih Muslim 2564,Universal,Taqwa is the cure
14,Yas,اليأس,Negative,6,Hopelessness,اليأس,Disease,Quran 39:53,Sahih Muslim 2755,Primary,Despair
14,Yas,اليأس,Negative,34,Hopelessness,اليأس,Disease,Quran 39:53,,Primary,Repeated
